"tip_amount,""trip_distance"",""passenger_count"""
2.3,2.45,1
1.66,0.7,1
2.0,2.0,1
2.15,1.4,1
2.82,0.76,6
1.0,2.4,1
1.75,0.7,1
2.36,1.26,2
2.2,1.99,2
3.36,2.8,3
7.0,18.04,6
1.0,1.12,1
2.0,1.06,1
3.65,2.6,1
2.45,0.6,1
1.46,0.52,1
3.64,9.35,1
3.7,1.5,1
3.15,1.2,2
4.16,3.49,2
2.46,1.17,1
1.95,0.8,1
4.0,1.87,1
2.64,0.58,1
2.76,1.75,1
1.0,1.09,1
0.64,1.74,1
3.66,3.75,2
1.85,0.9,1
2.55,2.1,1
0.5,0.9,1
1.0,1.8,1
2.36,1.47,1
2.16,1.46,1
5.56,6.7,3
8.73,8.39,1
1.2,3.14,1
10.0,0.93,1
3.75,2.2,0
3.8,2.3,1
2.55,0.7,1
2.75,1.9,1
1.0,0.64,1
2.95,1.51,1
2.76,1.61,1
2.0,2.08,2
1.0,0.81,1
3.56,2.96,1
3.36,2.34,1
1.0,1.03,1
1.7,2.1,1
2.36,1.3,2
2.55,1.4,1
6.05,6.1,1
10.08,0.73,1
2.2,1.06,1
2.36,1.38,1
2.26,0.74,1
2.96,2.0,1
2.35,0.9,1
4.95,5.9,1
1.56,0.48,1
1.62,0.9,1
6.78,9.3,1
11.06,18.91,1
2.56,1.03,1
1.46,0.54,1
2.76,2.16,1
5.36,6.41,1
2.35,1.5,1
0.7,0.4,1
1.2,0.8,1
2.66,1.4,1
1.5,1.24,1
1.66,0.59,1
1.0,0.84,1
1.1,0.5,0
3.0,5.35,1
1.0,1.08,1
2.36,1.22,1
1.03,1.0,1
2.0,1.5,1
1.0,1.31,1
2.19,0.46,1
3.7,17.51,1
2.22,1.4,1
1.95,0.43,1
5.06,4.1,1
5.7,4.82,1
2.07,1.61,5
3.26,2.3,1
3.55,1.6,2
1.66,0.61,1
2.33,0.75,1
4.95,3.3,1
3.2,3.38,5
2.2,5.0,1
7.55,9.1,1
2.0,1.5,1
2.85,2.2,1
1.25,4.89,1
1.0,4.88,1
3.0,1.32,2
2.0,1.09,1
2.56,0.83,1
1.13,1.3,1
2.15,0.9,1
1.0,2.3,0
0.59,1.0,0
1.56,0.4,0
6.15,8.0,1
3.56,4.3,2
6.68,8.35,1
2.6,3.21,1
4.86,4.44,1
3.26,1.99,1
2.06,0.8,1
2.56,1.66,1
2.86,2.71,1
1.86,1.05,3
2.15,1.1,1
2.55,1.2,1
2.35,0.5,1
2.2,0.72,5
1.96,0.72,5
4.66,3.48,2
2.26,1.43,2
3.96,2.69,2
1.25,1.75,1
4.66,5.79,1
0.78,0.42,5
4.0,5.02,1
2.86,2.97,1
1.66,0.87,1
3.0,4.85,1
1.0,2.11,1
2.56,1.39,1
1.42,1.56,1
2.16,1.19,1
1.7,1.14,1
5.9,3.0,1
0.95,0.6,1
3.7,2.0,1
2.16,1.9,6
3.26,2.1,1
2.95,1.9,1
5.26,5.21,1
3.26,1.7,3
1.0,1.19,1
12.25,18.5,1
3.25,4.1,1
5.16,5.37,1
1.86,0.86,1
2.75,1.0,4
8.0,2.1,2
10.45,8.8,1
1.96,0.8,2
2.0,1.0,0
1.5,2.47,1
12.28,16.74,1
2.16,1.04,5
1.76,0.78,5
3.26,2.98,5
2.05,0.9,1
1.66,0.5,1
1.0,0.74,1
2.46,1.62,1
5.45,5.4,1
1.86,0.65,2
4.44,1.72,1
1.46,0.64,1
4.36,3.85,1
1.66,0.55,3
4.86,4.03,4
3.36,2.43,1
3.2,1.79,1
2.66,1.3,1
2.45,1.6,1
1.0,0.94,2
2.06,1.1,2
1.7,1.3,1
1.25,0.5,1
1.76,0.7,1
3.45,2.0,1
1.25,1.7,1
4.95,5.6,1
1.76,0.95,1
2.56,1.18,1
2.06,0.48,1
0.5,0.38,1
2.0,1.61,1
2.26,1.29,3
1.0,0.53,3
2.25,1.2,1
2.55,1.1,1
1.0,3.2,1
2.46,1.24,1
3.06,1.55,1
5.0,1.29,1
3.2,1.78,1
3.16,0.85,1
2.35,1.5,1
2.55,0.9,1
1.86,0.74,1
2.36,0.94,1
2.0,3.5,2
4.36,4.09,1
2.22,1.94,1
2.66,1.41,1
2.83,1.16,1
3.33,1.48,1
2.0,1.89,1
1.76,0.73,1
5.0,8.6,1
1.85,0.8,2
1.47,0.96,1
2.58,1.24,1
0.98,1.13,1
2.46,1.4,1
2.5,1.1,1
5.0,9.86,1
2.16,1.1,1
4.26,2.9,1
1.66,0.56,6
1.0,2.09,5
3.0,0.73,1
4.46,3.63,1
1.26,0.22,1
2.0,1.64,1
1.0,0.95,1
1.86,0.7,1
1.0,1.3,1
2.85,1.0,0
2.46,1.03,1
4.46,3.48,2
1.6,2.74,1
2.06,1.21,1
2.86,1.73,1
7.76,14.0,1
2.46,1.62,1
3.95,1.92,1
1.0,0.68,1
3.45,2.4,1
1.86,0.76,2
1.38,1.77,2
3.08,1.51,2
1.67,0.71,2
0.7,0.91,2
1.0,2.7,2
1.66,0.68,1
1.78,1.54,1
2.0,1.72,1
7.45,10.6,1
1.75,0.6,1
2.05,0.8,1
3.33,2.13,1
5.0,19.2,1
12.58,9.87,1
1.96,1.02,1
2.75,1.5,1
2.2,0.7,3
7.75,7.4,1
3.16,1.11,1
1.66,0.93,1
2.86,2.29,1
1.2,0.85,2
2.56,1.1,1
1.9,1.39,1
4.15,2.3,1
1.24,0.72,1
3.86,3.08,6
1.56,0.61,1
